Name,DisplayName,Type,Visibility
eventInfo.smOwnerOfAlarm,Owner,String,TRUE
eventInfo.smTimeOfSendingTrap,Time of Sending Trap,Date,TRUE
eventInfo.source,Event Source IP,String,TRUE
eventInfo.sourceSystem,Event Source,String,TRUE
eventInfo.sourceEventID,Source Event ID,String,TRUE
eventInfo.state,Event State,String,TRUE
eventInfo.timestamp,Event Timestamp,Date,TRUE
eventInfo.proactivenetAlarmMOPath,MO Path,String,FALSE
eventInfo.proactivenetAlarmDeviceIfNum,Interface Number,String,TRUE
eventInfo.proactivenetAlarmDeviceIfType,Interface Type,String,TRUE
eventInfo.proactivenetAlarmAlarmRuleName,Rule Name,String,TRUE
eventInfo.proactivenetAlarmAbnormalityScore,Abnormality Score,String,TRUE
eventInfo.proactivenetAlarmUrl,Source URL,String,TRUE
eventInfo.proactivenetAlarmEscalationInfo,Escalation Info,String,TRUE
eventInfo.proactivenetAlarmSuppression,Supression,String,TRUE
eventInfo.proactivenetAlarmMoreInfo,More Info,String,TRUE
eventInfo.proactivenetAlarmDeviceDescription,Device Description,String,TRUE
featureOption.id,Feature Option Id,String,FALSE
featureOption.name,Feature Option,String,TRUE
featureOption.description,Feature Option Description,String,TRUE
featureOptionInstance.id,Feature Option Instance Id,String,FALSE
featureOptionInstance.identifier,Feature Option Instance,String,TRUE
featureOptionInstance.type,Feature Option Instance Type,String,TRUE
featureOptionInstance.commissionDate,Feature Option Instance Commission Date,Date,TRUE
featureOptionInstance.ceaseDate,Feature Option Instance Cease Date,Date,TRUE
featureOptionInstance.createdDate,Feature Option Instance Created Date,Date,TRUE
hardwareInfo.architecture,Hardware Architecture,String,TRUE
hardwareInfo.vendor,Hardware Vendor,String,TRUE
hardwareInfo.instanceUuid,Hardware Instance UUID,String,TRUE
hardwareInfo.model,Hardware Model,String,TRUE
hardwareInfo.bios,Hardware BIOS,String,TRUE
hardwareInfo.serial,Hardware Serial,String,TRUE
healthInfo.computeHealth,Compute Health,Number,TRUE
healthInfo.degradation,Health Degradation,Number,FALSE
healthInfo.eventCountBySeverity,Event Status,String,TRUE
healthInfo.health,Health,Number,TRUE
healthInfo.impact,Health Impact,Number,TRUE
healthInfo.networkHealth,Network Health,Number,TRUE
healthInfo.applicationHealth,Application Health,Number,TRUE
healthInfo.availability,Availability,Number,TRUE
healthInfo.affectedUsersPerformance,Affected Users by Performance,Number,TRUE
healthInfo.affectedUsersNetwork,Affected Users by Network,Number,TRUE
healthInfo.affectedUsersAvailabilty,Affected Users by Availability,Number,TRUE
id,ID,String,FALSE
incidentInfo.id,Incident ID,String,TRUE
incidentInfo.classificationSubType,Incident Classification Sub Type,String,TRUE
incidentInfo.elementName,Element Name,String,TRUE
incidentInfo.elementType,Element Type,String,FALSE
incidentInfo.impact,Impact,String,TRUE
incidentInfo.reportedDate,Created Date,Date,TRUE
incidentInfo.status,Incident Status,String,TRUE
inventoryInfo.devices,Devices,Number,TRUE
ipAddressType.name,IP Address Type Name,String,TRUE
ipInfo.dnsName,DNS Name,String,TRUE
ipInfo.dnsNameAlias,DNS Name Alias,String,TRUE
ipInfo.ipAddress,IP Address,IpAddress,TRUE
ipInfo.ipPool,IP Pool,String,TRUE
ipInfo.name,Name,String,TRUE
ipInfo.subNetworkMask,Sub Network Mask,String,TRUE
